Current default_params (after autoresearch)
profit	50
stop_ticks	35
min_bar_size_ticks	1
bars_between_trades	1
long_entry_offset	2
short_entry_offset	0
tfc_threshold	4
skip_tf_count	0
trade_window	10:00-11:30
monday	True
tuesday	True
wednesday	True
thursday	True
friday	True

Generation Log

gen	timestamp	sharpe	net_pnl	trades	win_rate	param_changed	old_value	new_value	kept
63	2026-03-20 20:30:15	-0.1541	-2445.22	39.0	0.6154	tfc_threshold	3	4	no
64	2026-03-20 20:30:21	-0.1541	-2445.22	39.0	0.6154	skip_tf_count	0	1	no
65	2026-03-20 20:30:26	-0.0983	-2429.38	81.0	0.6543	min_bar_size_ticks	4	2	no
66	2026-03-20 20:30:32	nan	nan	nan	nan	trade_window	09:30-10:30	10:00-11:30	no
67	2026-03-20 20:30:38	nan	nan	nan	nan	trade_window	09:30-10:30	10:00-12:00	no
68	2026-03-20 20:30:44	-0.113	-2750.4	80.0	0.65	short_entry_offset	1	0	no
69	2026-03-20 20:30:50	-0.1011	-2504.38	81.0	0.6543	short_entry_offset	1	2	no
70	2026-03-20 20:30:57	-0.1544	-3791.5	75.0	0.64	bars_between_trades	1	2	no
71	2026-03-20 20:31:03	-0.1596	-3617.38	81.0	0.6914	profit	80	60	no
72	2026-03-20 20:31:08	-0.1092	-2760.4	80.0	0.65	long_entry_offset	2	1	no
73	2026-03-20 20:31:14	-0.298	-6417.38	81.0	0.6914	profit	80	50	no
74	2026-03-20 20:31:20	-0.976	-5017.42	29.0	0.5172	tfc_threshold	3	2	no
75	2026-03-20 20:31:26	-0.4469	-9217.38	81.0	0.6914	profit	80	40	no
76	2026-03-20 20:31:32	-0.0983	-2429.38	81.0	0.6543	min_bar_size_ticks	4	2	no
77	2026-03-20 20:31:43	-0.1258	-3091.42	79.0	0.6456	long_entry_offset	2	0	no
78	2026-03-20 20:31:49	nan	nan	nan	nan	trade_window	09:30-10:30	10:00-11:30	no
79	2026-03-20 20:31:56	nan	nan	nan	nan	trade_window	09:30-10:30	10:00-12:00	no
80	2026-03-20 20:32:07	-0.113	-2750.4	80.0	0.65	short_entry_offset	1	0	no
81	2026-03-20 20:32:13	-0.1544	-3791.5	75.0	0.64	bars_between_trades	1	2	no
82	2026-03-20 20:32:19	-0.1541	-2445.22	39.0	0.6154	tfc_threshold	3	4	no
83	2026-03-20 20:32:25	-0.1541	-2445.22	39.0	0.6154	skip_tf_count	0	1	no
84	2026-03-20 20:32:35	-0.1596	-3617.38	81.0	0.6914	profit	80	60	no
85	2026-03-20 20:32:41	-0.298	-6417.38	81.0	0.6914	profit	80	50	no
86	2026-03-20 20:32:47	-0.4469	-9217.38	81.0	0.6914	profit	80	40	no
87	2026-03-20 20:32:58	-0.0983	-2429.38	81.0	0.6543	min_bar_size_ticks	4	2	no
88	2026-03-20 20:33:03	-0.1092	-2760.4	80.0	0.65	long_entry_offset	2	1	no
89	2026-03-20 20:33:14	-0.0983	-2429.38	81.0	0.6543	min_bar_size_ticks	4	6	no
90	2026-03-20 20:33:20	nan	nan	nan	nan	trade_window	09:30-10:30	10:00-11:30	no
91	2026-03-20 20:33:31	-0.113	-2750.4	80.0	0.65	short_entry_offset	1	0	no
92	2026-03-20 20:33:42	-0.1544	-3791.5	75.0	0.64	bars_between_trades	1	2	no
93	2026-03-20 20:33:48	-0.976	-5017.42	29.0	0.5172	tfc_threshold	3	2	no
94	2026-03-20 20:33:54	nan	nan	nan	nan	trade_window	09:30-10:30	10:00-12:00	no
95	2026-03-20 20:34:00	-0.1596	-3617.38	81.0	0.6914	profit	80	60	no
96	2026-03-20 20:34:06	-0.298	-6417.38	81.0	0.6914	profit	80	50	no
97	2026-03-20 20:34:16	-0.4469	-9217.38	81.0	0.6914	profit	80	40	no
98	2026-03-20 20:34:22	-0.0983	-2429.38	81.0	0.6543	min_bar_size_ticks	4	2	no
99	2026-03-20 20:34:28	-0.1092	-2760.4	80.0	0.65	long_entry_offset	2	1	no
100	2026-03-20 20:34:33	-0.1541	-2445.22	39.0	0.6154	skip_tf_count	0	1	no
101	2026-03-20 20:34:44	-0.0983	-2429.38	81.0	0.6543	min_bar_size_ticks	4	6	no
102	2026-03-20 20:34:50	-0.113	-2750.4	80.0	0.65	short_entry_offset	1	0	no
103	2026-03-20 20:34:56	-0.1544	-3791.5	75.0	0.64	bars_between_trades	1	2	no
104	2026-03-20 20:35:01	nan	nan	nan	nan	trade_window	09:30-10:30	10:00-11:30	no
105	2026-03-20 20:35:12	-0.976	-5017.42	29.0	0.5172	tfc_threshold	3	2	no
106	2026-03-20 20:35:23	nan	nan	nan	nan	trade_window	09:30-10:30	10:00-12:00	no
107	2026-03-20 20:35:34	-0.1596	-3617.38	81.0	0.6914	profit	80	60	no
108	2026-03-20 20:35:40	-0.298	-6417.38	81.0	0.6914	profit	80	50	no
109	2026-03-20 20:35:46	-0.582	-10238.38	81.0	0.716	profit	80	30	no
110	2026-03-20 20:35:52	-0.1258	-3091.42	79.0	0.6456	long_entry_offset	2	0	no
111	2026-03-20 20:36:03	-0.4469	-9217.38	81.0	0.6914	profit	80	40	no
112	2026-03-20 20:36:14	-0.0983	-2429.38	81.0	0.6543	min_bar_size_ticks	4	2	no
113	2026-03-20 20:36:24	-0.113	-2750.4	80.0	0.65	short_entry_offset	1	0	no
114	2026-03-20 20:36:30	-0.1544	-3791.5	75.0	0.64	bars_between_trades	1	2	no
115	2026-03-20 20:36:36	-0.1541	-2445.22	39.0	0.6154	tfc_threshold	3	4	no
116	2026-03-20 20:36:42	-0.976	-5017.42	29.0	0.5172	tfc_threshold	3	2	no
117	2026-03-20 20:36:53	nan	nan	nan	nan	trade_window	09:30-10:30	10:00-11:30	no
118	2026-03-20 20:36:58	nan	nan	nan	nan	trade_window	09:30-10:30	10:00-12:00	no
119	2026-03-20 20:37:09	-0.2386	-5771.6	70.0	0.6143	bars_between_trades	1	3	no
120	2026-03-20 20:37:15	-0.298	-6417.38	81.0	0.6914	profit	80	50	no
121	2026-03-20 20:37:21	-0.1092	-2760.4	80.0	0.65	long_entry_offset	2	1	no
122	2026-03-20 20:37:32	-0.1596	-3617.38	81.0	0.6914	profit	80	60	no
123	2026-03-20 20:37:43	-0.0983	-2429.38	81.0	0.6543	min_bar_size_ticks	4	2	no
124	2026-03-20 20:37:53	-0.0983	-2429.38	81.0	0.6543	min_bar_size_ticks	4	6	no
125	2026-03-20 20:38:04	-0.113	-2750.4	80.0	0.65	short_entry_offset	1	0	no
126	2026-03-20 20:38:10	-0.1541	-2445.22	39.0	0.6154	skip_tf_count	0	1	no
127	2026-03-20 20:38:20	-0.976	-5017.42	29.0	0.5172	tfc_threshold	3	2	no
128	2026-03-20 20:38:31	-0.1544	-3791.5	75.0	0.64	bars_between_trades	1	2	no
129	2026-03-20 20:38:37	nan	nan	nan	nan	trade_window	09:30-10:30	10:00-11:30	no
130	2026-03-20 20:38:48	nan	nan	nan	nan	trade_window	09:30-10:30	10:00-12:00	no
131	2026-03-20 20:38:58	-0.1541	-2445.22	39.0	0.6154	tfc_threshold	3	4	no
132	2026-03-20 20:39:09	-0.1092	-2760.4	80.0	0.65	long_entry_offset	2	1	no
133	2026-03-20 20:39:15	-0.1596	-3617.38	81.0	0.6914	profit	80	60	no
134	2026-03-20 20:39:26	-0.298	-6417.38	81.0	0.6914	profit	80	50	no
135	2026-03-20 20:39:36	-0.0983	-2429.38	81.0	0.6543	min_bar_size_ticks	4	2	no
136	2026-03-20 20:39:47	-0.1258	-3091.42	79.0	0.6456	long_entry_offset	2	0	no
137	2026-03-20 20:39:58	-0.113	-2750.4	80.0	0.65	short_entry_offset	1	0	no
138	2026-03-20 20:40:09	-0.976	-5017.42	29.0	0.5172	tfc_threshold	3	2	no
139	2026-03-20 20:40:19	-0.1544	-3791.5	75.0	0.64	bars_between_trades	1	2	no
140	2026-03-20 20:40:25	-0.4469	-9217.38	81.0	0.6914	profit	80	40	no
141	2026-03-20 20:40:36	nan	nan	nan	nan	trade_window	09:30-10:30	10:00-11:30	no
142	2026-03-20 20:40:46	-0.1541	-2445.22	39.0	0.6154	tfc_threshold	3	4	no
143	2026-03-20 20:40:59	nan	nan	nan	nan	trade_window	09:30-10:30	13:00-14:30	no
144	2026-03-20 20:41:10	nan	nan	nan	nan	trade_window	09:30-10:30	10:00-12:00	no
145	2026-03-20 20:41:20	-0.1596	-3617.38	81.0	0.6914	profit	80	60	no
146	2026-03-20 20:41:31	-0.0983	-2429.38	81.0	0.6543	min_bar_size_ticks	4	6	no
147	2026-03-20 20:41:42	-0.1092	-2760.4	80.0	0.65	long_entry_offset	2	1	no
148	2026-03-20 20:41:48	-0.113	-2750.4	80.0	0.65	short_entry_offset	1	0	no
149	2026-03-20 20:41:58	-0.976	-5017.42	29.0	0.5172	tfc_threshold	3	2	no
150	2026-03-20 20:42:09	-0.1544	-3791.5	75.0	0.64	bars_between_trades	1	2	no
151	2026-03-20 20:42:20	-0.2386	-5771.6	70.0	0.6143	bars_between_trades	1	3	no
152	2026-03-20 20:42:31	-0.298	-6417.38	81.0	0.6914	profit	80	50	no
153	2026-03-20 20:42:42	-0.1541	-2445.22	39.0	0.6154	tfc_threshold	3	4	no
154	2026-03-20 20:42:53	-0.1541	-2445.22	39.0	0.6154	skip_tf_count	0	1	no
155	2026-03-20 20:43:03	nan	nan	nan	nan	trade_window	09:30-10:30	10:00-11:30	no
156	2026-03-20 20:43:14	nan	nan	nan	nan	trade_window	09:30-10:30	10:00-12:00	no
157	2026-03-20 20:43:25	-0.0983	-2429.38	81.0	0.6543	min_bar_size_ticks	4	2	no
158	2026-03-20 20:43:36	-0.1092	-2760.4	80.0	0.65	long_entry_offset	2	1	no
159	2026-03-20 20:43:47	-0.1596	-3617.38	81.0	0.6914	profit	80	60	no
160	2026-03-20 20:43:58	-0.1011	-2504.38	81.0	0.6543	short_entry_offset	1	2	no
161	2026-03-20 20:44:09	-0.976	-5017.42	29.0	0.5172	tfc_threshold	3	2	no
162	2026-03-20 20:44:20	-0.1544	-3791.5	75.0	0.64	bars_between_trades	1	2	no
163	2026-03-20 20:44:31	-0.298	-6417.38	81.0	0.6914	profit	80	50	no
164	2026-03-20 20:44:41	-0.4469	-9217.38	81.0	0.6914	profit	80	40	no
165	2026-03-20 20:44:52	-0.1258	-3091.42	79.0	0.6456	long_entry_offset	2	0	no
166	2026-03-20 20:45:04	-0.1541	-2445.22	39.0	0.6154	skip_tf_count	0	1	no
167	2026-03-20 20:45:15	nan	nan	nan	nan	trade_window	09:30-10:30	10:00-11:30	no
168	2026-03-20 20:45:26	-0.0983	-2429.38	81.0	0.6543	min_bar_size_ticks	4	2	no
169	2026-03-20 20:45:37	nan	nan	nan	nan	trade_window	09:30-10:30	10:00-12:00	no
171	2026-03-20 20:45:54	nan	nan	nan	nan	trade_window	09:30-10:30	13:00-14:30	no
172	2026-03-20 20:46:06	nan	nan	nan	nan	trade_window	09:30-10:30	09:30-11:00	no
173	2026-03-20 20:46:17	-0.976	-5017.42	29.0	0.5172	tfc_threshold	3	2	no
174	2026-03-20 20:46:29	-0.1544	-3791.5	75.0	0.64	bars_between_trades	1	2	no
175	2026-03-20 20:46:41	-0.298	-6417.38	81.0	0.6914	profit	80	50	no
176	2026-03-20 20:46:53	-0.1596	-3617.38	81.0	0.6914	profit	80	60	no
177	2026-03-20 20:47:03	-0.1092	-2760.4	80.0	0.65	long_entry_offset	2	1	no
178	2026-03-20 20:47:14	-0.1011	-2504.38	81.0	0.6543	short_entry_offset	1	2	no
179	2026-03-20 20:47:24	-0.1258	-3091.42	79.0	0.6456	long_entry_offset	2	0	no
180	2026-03-20 20:47:35	-0.0983	-2429.38	81.0	0.6543	min_bar_size_ticks	4	2	no
181	2026-03-20 20:47:46	-0.1541	-2445.22	39.0	0.6154	skip_tf_count	0	1	no
182	2026-03-20 20:47:56	-0.4469	-9217.38	81.0	0.6914	profit	80	40	no
183	2026-03-20 20:48:07	nan	nan	nan	nan	trade_window	09:30-10:30	10:00-11:30	no
184	2026-03-20 20:48:17	-0.976	-5017.42	29.0	0.5172	tfc_threshold	3	2	no
185	2026-03-20 20:48:28	-0.1544	-3791.5	75.0	0.64	bars_between_trades	1	2	no
186	2026-03-20 20:48:38	-0.2386	-5771.6	70.0	0.6143	bars_between_trades	1	3	no
187	2026-03-20 20:48:49	-0.1541	-2445.22	39.0	0.6154	tfc_threshold	3	4	no
188	2026-03-20 20:48:55	-0.1596	-3617.38	81.0	0.6914	profit	80	60	no
189	2026-03-20 20:49:05	-0.298	-6417.38	81.0	0.6914	profit	80	50	no
190	2026-03-20 20:49:16	-0.1092	-2760.4	80.0	0.65	long_entry_offset	2	1	no
191	2026-03-20 20:49:29	-0.0983	-2429.38	81.0	0.6543	min_bar_size_ticks	4	6	no
192	2026-03-20 20:49:40	-0.1541	-2445.22	39.0	0.6154	skip_tf_count	0	1	no
193	2026-03-20 20:49:54	-0.1258	-3091.42	79.0	0.6456	long_entry_offset	2	0	no
194	2026-03-20 20:50:05	nan	nan	nan	nan	trade_window	09:30-10:30	10:00-11:30	no
195	2026-03-20 20:50:16	-0.113	-2750.4	80.0	0.65	short_entry_offset	1	0	no
196	2026-03-20 20:50:27	-0.1011	-2504.38	81.0	0.6543	short_entry_offset	1	2	no
197	2026-03-20 20:50:38	-0.1544	-3791.5	75.0	0.64	bars_between_trades	1	2	no
198	2026-03-20 20:50:49	-0.976	-5017.42	29.0	0.5172	tfc_threshold	3	2	no
199	2026-03-20 20:50:59	-0.2386	-5771.6	70.0	0.6143	bars_between_trades	1	3	no
200	2026-03-20 20:51:10	-0.1596	-3617.38	81.0	0.6914	profit	80	60	no
0	2026-03-23 16:19:48	-1.5522	-3499.74	13.0	0.3846	baseline	-	-	yes
0	2026-03-23 16:20:12	-1.5522	-3499.74	13.0	0.3846	baseline	-	-	yes
0	2026-03-23 16:27:57	-1.1768	-3659.72	14.0	0.3571	baseline	-	-	yes
0	2026-03-23 16:42:53	-1.1768	-3659.72	14.0	0.3571	baseline	-	-	yes
0	2026-03-23 16:44:10	0.3106	24293.94	813.0	0.3284	baseline	-	-	yes
0	2026-03-23 17:02:22	0.3106	24293.94	813.0	0.3284	baseline	-	-	yes
1	2026-03-23 17:02:35	0.5113	32169.32	814.0	0.3943	take_profit_r	2.5	2.0	yes
2	2026-03-23 17:02:50	0.4717	38349.32	814.0	0.3317	stop_loss_r	1	0.75	no
3	2026-03-23 17:03:04	0.2996	18829.32	814.0	0.4324	stop_loss_r	1	1.25	no
4	2026-03-23 17:03:19	0.1527	12268.56	812.0	0.3707	stop_fib	0.9	0.85	no
5	2026-03-23 17:03:36	0.3841	22739.32	814.0	0.457	take_profit_r	2	1.5	no
6	2026-03-23 17:03:54	0.4717	38349.32	814.0	0.3317	stop_loss_r	1	0.75	no
7	2026-03-23 17:04:11	0.3106	24293.94	813.0	0.3284	take_profit_r	2	2.5	no
0	2026-03-23 17:04:59	0.7602	4625.7	35.0	0.6857	baseline	-	-	yes
1	2026-03-23 17:05:15	1.0851	5166.0	50.0	0.78	profit	80	50	yes
2	2026-03-23 17:05:30	1.0851	5166.0	50.0	0.78	min_bar_size_ticks	4	6	no
3	2026-03-23 17:05:50	0.9794	4427.94	47.0	0.766	bars_between_trades	1	2	no
4	2026-03-23 17:06:06	0.0942	1407.76	138.0	0.6812	tfc_threshold	0	2	no
5	2026-03-23 17:06:24	1.0759	5131.0	50.0	0.78	long_entry_offset	0	1	no
6	2026-03-23 17:06:39	1.4079	5504.78	39.0	0.8205	trade_window	09:30-11:00	10:00-11:30	yes
7	2026-03-23 17:06:56	1.383	6464.78	39.0	0.7949	profit	50	60	no
8	2026-03-23 17:07:12	1.383	6464.78	39.0	0.7949	profit	50	60	no
9	2026-03-23 17:07:29	1.383	6464.78	39.0	0.7949	profit	50	60	no
10	2026-03-23 17:07:44	1.383	6464.78	39.0	0.7949	profit	50	60	no
11	2026-03-23 17:08:00	1.2164	3904.78	39.0	0.8205	profit	50	40	no
12	2026-03-23 17:08:14	1.4079	5504.78	39.0	0.8205	min_bar_size_ticks	4	6	no
13	2026-03-23 17:08:31	1.405	5494.78	39.0	0.8205	long_entry_offset	0	1	no
14	2026-03-23 17:08:45	1.2902	5176.82	41.0	0.8049	bars_between_trades	1	2	no
15	2026-03-23 17:09:01	0.0692	1491.7	135.0	0.7111	tfc_threshold	0	2	no
16	2026-03-23 17:09:16	1.4002	5479.78	39.0	0.8205	short_entry_offset	0	1	no
17	2026-03-23 17:09:32	1.4079	5504.78	39.0	0.8205	min_bar_size_ticks	4	6	no
18	2026-03-23 17:09:46	1.0568	4638.04	52.0	0.75	trade_window	10:00-11:30	10:00-12:00	no
19	2026-03-23 17:10:00	1.4079	5504.78	39.0	0.8205	min_bar_size_ticks	4	6	no
20	2026-03-23 17:10:16	1.4079	5504.78	39.0	0.8205	min_bar_size_ticks	4	6	no
21	2026-03-23 17:10:31	1.383	6464.78	39.0	0.7949	profit	50	60	no
22	2026-03-23 17:10:47	1.4079	5504.78	39.0	0.8205	min_bar_size_ticks	4	6	no
23	2026-03-23 17:11:03	1.4079	5504.78	39.0	0.8205	min_bar_size_ticks	4	2	no
24	2026-03-23 17:11:19	1.405	5494.78	39.0	0.8205	long_entry_offset	0	1	no
25	2026-03-23 17:11:34	1.4002	5479.78	39.0	0.8205	short_entry_offset	0	1	no
26	2026-03-23 17:11:53	0.0692	1491.7	135.0	0.7111	tfc_threshold	0	2	no
27	2026-03-23 17:12:07	1.2902	5176.82	41.0	0.8049	bars_between_trades	1	2	no
28	2026-03-23 17:12:23	1.4079	5504.78	39.0	0.8205	min_bar_size_ticks	4	6	no
29	2026-03-23 17:12:37	1.0851	5166.0	50.0	0.78	trade_window	10:00-11:30	09:30-11:00	no
30	2026-03-23 17:12:53	1.2164	3904.78	39.0	0.8205	profit	50	40	no
31	2026-03-23 17:13:07	1.383	6464.78	39.0	0.7949	profit	50	60	no
32	2026-03-23 17:13:22	1.3122	7819.78	39.0	0.7436	profit	50	80	no
33	2026-03-23 17:13:38	0.8877	2663.86	43.0	0.8372	profit	50	30	no
34	2026-03-23 17:13:52	1.4079	5504.78	39.0	0.8205	min_bar_size_ticks	4	2	no
35	2026-03-23 17:14:07	1.4079	5504.78	39.0	0.8205	min_bar_size_ticks	4	2	no
36	2026-03-23 17:14:24	1.4079	5504.78	39.0	0.8205	min_bar_size_ticks	4	2	no
37	2026-03-23 17:14:38	0.0692	1491.7	135.0	0.7111	tfc_threshold	0	2	no
38	2026-03-23 17:14:54	1.2902	5176.82	41.0	0.8049	bars_between_trades	1	2	no
39	2026-03-23 17:15:10	1.4079	5504.78	39.0	0.8205	min_bar_size_ticks	4	2	no
40	2026-03-23 17:15:25	1.4079	5504.78	39.0	0.8205	min_bar_size_ticks	4	2	no
41	2026-03-23 17:15:40	1.405	5494.78	39.0	0.8205	long_entry_offset	0	1	no
42	2026-03-23 17:15:59	1.4079	5504.78	39.0	0.8205	min_bar_size_ticks	4	2	no
43	2026-03-23 17:16:14	1.4002	5479.78	39.0	0.8205	short_entry_offset	0	1	no
44	2026-03-23 17:16:28	1.2164	3904.78	39.0	0.8205	profit	50	40	no
45	2026-03-23 17:16:44	0.9161	3757.74	37.0	0.7838	trade_window	10:00-11:30	09:30-10:30	no
46	2026-03-23 17:16:59	1.4079	5504.78	39.0	0.8205	min_bar_size_ticks	4	2	no
47	2026-03-23 17:17:15	1.4079	5504.78	39.0	0.8205	min_bar_size_ticks	4	2	no
48	2026-03-23 17:17:29	0.0692	1491.7	135.0	0.7111	tfc_threshold	0	2	no
49	2026-03-23 17:17:45	1.2902	5176.82	41.0	0.8049	bars_between_trades	1	2	no
50	2026-03-23 17:18:00	1.2902	5176.82	41.0	0.8049	bars_between_trades	1	2	no
51	2026-03-23 17:18:16	1.4079	5504.78	39.0	0.8205	min_bar_size_ticks	4	2	no
52	2026-03-23 17:18:32	1.405	5494.78	39.0	0.8205	long_entry_offset	0	1	no
